attendance,participation,assignment score,year_of study,number of subjects taken,class size,peer performance,cats,rats,Final exam
13,14,5,4,3,65,82,7,2,62
7,19,2,6,5,174,20,21,8,56
13,5,10,2,5,134,60,11,2,59
3,14,3,4,7,152,77,12,5,44
10,3,5,3,4,161,96,2,4,44
19,14,3,3,3,161,80,25,8,87
4,1,7,3,5,81,80,21,3,43
6,3,4,5,7,169,86,26,9,51
10,17,2,2,4,166,45,16,6,60
10,1,5,2,7,106,22,28,2,45
1,6,5,3,5,140,5,4,7,24
1,11,6,4,4,113,1,18,5,37
13,18,7,6,3,125,71,5,5,70
20,5,9,3,3,168,39,3,10,72
6,3,7,1,3,101,27,32,3,50
18,7,8,6,6,152,62,28,8,82
13,15,9,3,6,65,49,25,4,79
5,13,5,1,7,197,7,17,3,42
2,3,4,4,5,100,33,18,2,26
18,16,6,1,5,122,91,2,2,74
5,17,9,3,7,193,74,20,5,66
19,10,5,3,7,105,55,31,2,77
15,11,5,2,3,76,72,10,6,68
12,19,3,3,4,109,35,6,9,64
15,18,4,6,6,160,28,33,5,77
6,2,9,3,3,68,65,37,7,64
2,13,3,4,7,176,64,1,7,35
14,11,6,6,3,54,37,10,3,58
12,16,5,6,7,172,73,29,7,77
13,15,3,3,5,130,50,14,8,66
10,16,9,3,4,200,99,4,3,67
17,13,6,3,7,156,29,36,5,82
1,15,10,1,7,49,61,17,7,60
3,10,10,6,5,183,71,14,1,47
5,16,7,3,6,117,5,3,4,42
18,15,9,5,5,56,87,34,4,97
1,6,5,2,3,91,46,16,3,34
8,16,10,1,5,79,35,20,8,74
8,1,3,1,6,119,60,21,1,38
12,17,4,5,5,163,76,28,5,75
15,5,7,5,4,44,35,18,6,63
4,18,2,6,7,48,80,23,5,55
12,7,3,2,7,140,14,36,8,63
15,2,5,2,5,187,84,39,4,72
5,20,5,3,5,136,18,13,7,55
7,9,9,3,4,91,29,2,1,41
6,11,9,2,7,113,42,24,7,63
11,3,5,4,4,139,53,13,1,43
19,17,5,4,3,55,51,26,6,89
6,6,5,3,6,181,3,32,8,50
4,18,3,6,3,47,5,6,7,41
19,20,9,2,3,108,66,36,8,110
14,18,10,6,5,198,39,30,8,90
14,4,9,5,5,195,36,37,5,72
9,7,4,3,5,56,53,40,1,59
5,2,1,5,4,154,47,11,10,31
17,20,4,1,5,47,26,32,6,88
15,2,9,5,7,146,61,36,4,72
13,11,5,5,5,135,77,2,6,57
10,3,2,5,4,95,49,2,1,28
12,3,8,4,6,119,41,36,3,64
19,13,9,1,7,58,46,25,4,87
10,18,1,3,6,100,43,33,2,64
13,10,4,5,6,113,88,32,5,73
20,4,4,4,7,106,50,15,8,67
13,3,10,1,4,180,62,20,2,63
16,19,10,1,7,152,48,16,8,90
20,10,7,3,5,184,6,8,8,70
20,10,7,2,5,91,95,24,9,94
1,18,5,4,5,65,66,10,10,54
4,1,4,1,3,193,23,34,9,46
6,8,5,1,7,187,67,5,1,37
14,4,4,5,7,126,21,2,10,46
11,14,10,1,7,188,75,36,7,89
19,7,10,6,5,133,44,29,9,87
10,1,3,1,5,82,78,31,7,58
3,10,9,5,3,124,39,11,2,42
2,9,7,6,6,150,36,33,5,50
17,3,1,5,7,154,5,16,10,50
17,11,3,6,4,70,34,21,5,66
16,3,4,3,4,145,45,14,10,61
15,19,1,5,4,106,11,28,2,66
20,7,3,1,6,183,99,10,7,72
14,15,7,6,5,182,65,21,3,73
16,13,9,1,4,55,96,3,2,74
18,12,6,5,6,57,29,11,3,65
17,16,2,1,3,163,57,37,8,89
4,10,9,3,5,113,72,8,3,48
16,12,7,1,7,127,87,22,5,81
19,8,1,2,5,197,24,12,10,62
13,11,6,1,6,74,2,1,9,55
1,10,4,5,6,110,84,10,2,34
18,4,3,6,7,197,13,26,6,58
16,6,4,6,5,54,56,9,8,59
13,1,9,5,7,58,93,7,8,60
11,15,6,2,6,49,45,26,3,69
4,5,10,6,5,126,4,35,3,49
5,7,4,1,3,111,26,33,7,53
12,6,7,5,3,163,8,23,1,51
9,2,7,2,7,42,15,27,9,55
2,6,7,5,7,185,43,35,5,48
1,10,3,3,3,99,79,17,9,46
12,8,5,3,4,141,42,9,7,54
6,4,8,2,7,93,43,28,7,56
4,4,5,2,5,108,74,15,1,36
14,8,6,1,7,58,55,35,8,79
6,20,6,3,7,176,24,18,4,58
1,4,1,1,7,176,54,10,4,21
20,2,5,1,3,98,45,30,6,75
10,8,2,6,7,67,78,7,9,49
13,6,9,6,4,112,99,22,2,69
16,16,9,2,6,146,8,34,4,85
20,19,4,3,4,118,34,39,4,94
9,5,7,3,3,141,12,7,8,45
9,13,8,1,4,99,68,14,2,62
3,18,8,6,5,98,34,21,6,59
4,1,8,1,5,151,88,16,6,47
17,6,1,3,6,187,54,20,10,64
18,1,4,6,6,153,79,25,6,66
10,19,9,2,6,188,94,30,6,89
5,18,6,3,7,195,16,10,1,44
17,1,1,6,5,154,39,16,4,46
19,20,6,1,3,144,22,33,8,98
11,5,3,3,7,118,35,33,1,51
7,10,6,6,3,115,88,13,9,59
11,12,8,6,4,195,59,32,8,78
16,19,5,2,5,113,43,9,4,72
3,7,6,2,5,57,5,22,7,43
10,15,2,1,6,122,6,36,2,60
17,5,7,2,3,97,93,26,4,78
6,8,9,6,6,102,56,3,9,49
6,11,5,1,6,170,38,8,5,44
7,11,7,1,5,75,21,30,7,64
8,7,3,4,4,93,27,25,2,44
13,13,7,3,6,150,96,35,2,82
5,11,2,2,3,176,35,15,1,36
20,15,1,4,3,77,34,32,4,79
13,7,3,3,4,157,14,14,10,54
8,8,10,5,7,149,17,23,10,62
19,15,2,3,4,96,64,24,10,86
3,20,1,5,3,154,70,10,8,50
14,18,8,3,3,75,100,17,1,82
10,15,10,3,4,51,74,33,3,83
17,11,2,2,6,182,36,11,7,61
14,19,7,6,7,131,83,1,7,72
3,13,4,6,4,45,3,8,9,38
5,19,5,4,4,181,4,24,6,57
4,7,3,3,7,144,9,39,5,45
16,20,1,5,7,91,25,33,4,75
7,15,1,4,7,66,32,9,1,37
12,1,10,1,5,74,23,27,5,62
20,15,5,2,3,48,80,30,1,89
9,9,2,3,7,131,62,33,6,59
10,15,3,6,7,173,40,26,4,59
8,3,6,6,5,96,33,6,9,41
9,18,5,2,4,62,85,30,1,73
15,13,4,6,4,179,61,13,7,67
2,13,5,2,6,178,14,19,9,46
8,19,10,2,4,157,28,38,6,84
11,9,4,2,5,183,52,33,4,64
15,9,9,5,5,159,21,30,7,76
17,7,4,6,5,200,17,19,6,59
5,17,7,5,7,160,100,22,8,70
10,9,7,5,6,191,98,4,7,57
5,3,8,6,5,185,80,5,10,45
14,2,1,1,7,157,14,2,2,29
15,7,9,3,5,53,84,33,10,90
6,14,4,3,6,97,32,39,1,58
3,10,1,6,5,182,30,29,3,36
11,18,4,5,7,124,34,13,2,56
20,19,7,2,5,129,42,27,10,100
20,17,4,6,7,156,72,2,2,68
19,10,7,1,7,172,27,23,10,83
12,16,1,2,7,142,51,35,7,73
1,18,4,5,6,104,3,32,4,48
12,6,7,4,5,180,81,18,10,68
10,6,4,2,4,80,80,18,9,61
6,2,4,1,6,70,56,36,8,55
15,2,9,2,6,175,91,38,1,76
1,20,8,6,7,198,3,36,1,55
16,8,10,1,6,130,8,28,5,75
19,7,10,1,6,94,73,27,5,88
5,5,4,2,3,51,60,3,9,39
7,1,2,5,3,120,58,12,9,37
3,5,5,4,6,43,30,31,4,42
9,16,8,6,6,55,53,30,8,77
15,13,3,1,7,193,80,9,3,62
11,19,6,1,7,87,69,19,5,75
12,16,9,6,7,164,14,36,8,82
8,7,4,6,5,76,40,17,9,49
6,3,3,3,5,61,88,35,8,57
2,2,5,6,6,72,50,17,3,28
2,10,6,1,5,136,58,39,10,65
12,11,10,2,5,61,17,19,5,68
2,4,8,3,7,101,22,25,3,38
5,18,8,3,6,151,94,3,6,60
14,9,4,4,4,117,66,37,3,72
5,15,4,5,3,116,79,16,2,51
10,7,1,3,6,160,13,12,6,38
19,1,6,4,5,41,36,12,3,56
3,20,6,3,3,169,43,36,2,65
2,20,4,2,7,51,55,40,7,70
10,4,1,4,6,72,46,33,3,48
8,11,6,4,6,105,18,2,4,40
5,7,4,4,4,167,57,29,8,53
4,5,6,2,7,95,97,23,5,51
13,1,2,5,4,171,25,34,1,46
20,20,6,5,6,112,20,11,10,85
15,12,2,4,6,60,58,31,10,77
10,5,6,4,5,181,52,33,6,62
19,9,5,2,7,63,60,27,1,74
1,7,2,1,3,152,10,26,2,29
1,18,10,1,3,55,5,28,8,66
14,7,3,1,3,186,57,20,2,57
10,18,3,4,3,127,84,19,3,66
15,19,4,2,5,189,56,20,8,80
9,10,10,2,7,67,43,21,8,69
3,7,9,3,4,109,35,35,4,55
4,15,10,6,7,95,54,34,8,73
16,5,10,3,4,186,56,38,1,79
4,14,3,5,4,137,68,6,5,42
14,8,7,1,7,67,85,12,6,69
9,10,6,5,7,143,23,3,1,37
6,14,4,5,5,89,97,11,9,59
19,11,5,2,3,176,43,8,1,63
8,17,3,5,4,186,23,22,1,51
4,15,7,5,6,199,27,15,4,47
20,5,10,4,7,184,11,20,3,70
15,6,1,6,6,161,95,28,4,62
12,1,2,1,4,137,69,4,4,39
1,20,2,4,5,152,56,16,3,44
19,19,5,1,7,149,70,40,4,99
1,20,10,3,4,151,57,14,3,58
15,2,1,2,4,101,2,37,3,53
9,13,7,2,6,149,57,15,4,60
18,12,2,5,3,152,5,9,8,60
14,19,5,4,7,178,63,8,4,68
5,14,7,1,3,94,14,13,6,52
3,14,10,5,5,177,34,14,5,52
2,10,10,2,5,130,93,19,9,63
14,11,9,2,6,137,23,12,4,64
13,5,8,6,6,171,17,39,8,71
6,17,5,1,5,147,77,7,2,52
19,7,9,1,4,117,13,13,10,76
6,1,6,3,6,101,75,2,6,35
4,14,9,6,5,53,78,39,6,75
4,3,5,1,5,193,74,34,9,56
13,4,8,6,7,199,92,10,10,64
3,15,4,6,3,122,47,6,2,36
20,20,4,1,7,106,4,2,8,74
17,7,4,4,7,64,73,38,3,76
5,20,3,2,7,164,31,40,8,70
16,17,8,1,4,135,42,19,5,83
19,20,1,3,6,61,35,11,7,74
20,9,3,4,6,117,2,14,2,57
4,12,10,3,5,136,87,34,9,77
17,14,2,6,6,180,44,1,10,61
18,5,4,5,3,109,40,29,7,71
10,20,10,2,3,50,56,32,4,88
12,5,7,6,4,77,77,4,9,57
20,8,10,1,4,85,47,15,7,84
2,9,3,2,7,116,20,25,6,39
11,2,10,4,6,68,74,18,10,67
2,20,5,2,7,111,66,32,2,61
13,11,7,3,5,137,22,17,6,64
20,6,10,3,6,48,54,10,9,80
7,14,8,1,6,109,8,35,5,67
10,18,2,1,3,151,35,23,7,66
3,4,6,4,5,151,47,21,7,42
5,10,9,3,6,55,94,1,5,51
14,1,3,5,7,46,34,23,8,53
20,20,9,3,6,195,29,17,10,96
5,8,4,2,6,114,86,11,7,47
10,3,5,4,4,103,79,8,1,42
8,7,4,3,3,86,41,28,7,56
13,1,9,1,6,44,59,31,8,73
17,12,4,2,4,63,61,38,3,83
18,18,5,2,3,183,42,39,3,91
5,6,8,6,4,59,99,30,5,62
14,11,8,5,4,161,2,1,9,58
6,13,6,2,5,92,96,9,2,53
13,19,2,5,7,173,67,2,1,53
5,13,8,1,7,70,53,24,9,67
14,8,10,3,6,99,19,27,8,75
16,3,2,2,4,120,12,16,6,50
14,10,5,6,7,104,32,14,7,59
19,3,10,2,5,89,37,6,9,71
14,13,5,3,6,117,63,18,3,67
6,5,6,5,5,65,35,34,8,56
18,10,7,4,6,150,5,4,4,58
16,4,10,5,5,111,70,7,8,68
3,5,8,4,4,46,67,6,3,37
20,1,1,5,3,157,42,25,8,63
14,7,4,5,7,123,52,34,10,73
17,12,9,4,6,155,47,1,6,68
9,3,5,4,5,61,100,9,1,43
17,8,1,5,4,53,35,24,2,58
16,11,8,6,3,66,58,1,9,70
1,11,1,3,7,147,18,36,2,37
11,14,4,3,3,182,43,16,6,61
15,18,8,6,4,67,58,21,4,82
4,13,6,1,6,145,23,21,7,53
9,8,2,2,5,101,19,24,5,48
9,4,5,2,5,69,71,22,7,57
19,2,6,2,5,187,100,39,10,91
17,3,2,6,3,113,14,13,9,52
17,2,2,5,5,170,42,28,4,57
4,10,3,4,3,168,42,1,8,35
14,14,9,1,5,156,49,31,6,86
11,1,8,2,7,112,21,18,4,48
1,17,8,3,3,93,63,1,2,44
12,16,9,1,4,171,83,19,10,87
3,19,2,6,3,158,64,9,5,45
2,10,4,3,4,175,69,9,1,33
6,2,10,5,7,77,33,21,1,42
4,13,3,1,7,149,68,40,6,63
14,5,7,3,7,75,41,8,8,58
14,3,4,5,3,44,78,36,2,65
20,1,7,3,6,69,29,10,2,57
8,7,8,6,3,152,56,31,7,65
9,15,2,5,4,107,68,4,2,45
2,3,8,6,5,171,32,8,5,29
9,9,9,3,6,126,93,28,4,71
13,19,6,2,3,130,49,3,8,71
8,3,1,4,6,54,43,40,5,50
13,20,3,5,4,40,84,38,4,86
10,7,8,2,4,156,80,19,2,60
12,20,8,1,3,161,67,26,8,90
13,10,9,6,3,167,40,37,3,76
12,6,2,4,7,51,94,40,8,72
4,19,4,5,3,71,68,22,8,64
2,4,2,3,6,99,94,3,10,33
19,16,9,3,6,161,98,21,4,94
3,17,4,4,7,52,38,14,4,45
16,1,5,1,5,193,55,20,10,65
8,7,6,3,6,84,19,1,10,43
19,4,4,2,7,199,68,33,3,72
3,18,2,4,7,132,32,18,1,40
17,3,1,6,7,40,56,28,2,55
17,6,7,3,3,183,3,35,8,76
10,1,10,4,6,58,60,20,7,60
5,9,9,5,3,57,68,37,5,68
16,10,8,4,6,184,87,7,4,69
19,6,9,2,3,141,26,1,1,59
11,20,2,6,4,63,100,27,7,79
5,2,6,6,3,44,37,13,3,33
3,8,10,5,4,101,29,39,3,58
17,13,2,5,7,128,70,40,1,77
1,20,7,1,4,98,5,36,7,65
7,4,6,3,6,76,41,17,5,44
20,4,3,2,5,71,97,33,7,83
6,12,4,1,4,89,41,34,1,56
1,17,9,5,6,75,66,27,2,59
20,6,8,4,5,121,15,16,9,74
13,3,1,6,7,198,90,37,6,61
13,11,1,1,7,58,30,20,2,52
3,12,6,3,7,173,35,32,8,57
11,14,1,5,4,104,28,5,4,44
19,7,1,3,7,46,61,18,4,63
11,16,2,5,3,106,71,26,3,66
10,11,7,6,6,88,74,26,6,69
10,1,4,6,6,143,48,32,2,46
18,13,7,4,7,61,15,34,8,86
5,16,6,3,7,160,45,11,7,53
14,9,6,1,7,140,31,21,2,61
10,4,6,5,6,188,65,11,3,45
1,8,5,4,7,53,100,25,9,53
19,13,6,3,4,74,37,37,8,93
9,7,2,2,6,191,43,28,9,56
2,12,9,2,7,160,26,31,9,61
7,7,1,1,3,142,74,28,1,47
19,14,6,3,3,45,13,37,9,93
18,10,1,1,6,127,70,12,8,68
9,14,1,3,3,76,32,1,7,44
12,18,3,4,5,82,6,30,5,68
2,7,6,2,4,146,69,5,5,36
10,9,3,1,3,86,51,36,5,65
19,2,6,4,5,124,78,7,6,63
16,5,2,2,5,65,16,39,6,67
13,8,5,3,3,113,64,9,7,60
5,17,2,5,6,121,100,2,3,44
12,14,5,5,5,50,69,24,4,70
6,7,5,3,3,135,91,8,4,45
11,5,3,5,5,116,94,27,5,59
17,20,10,3,6,106,7,35,9,100
20,1,1,3,5,184,61,12,4,53
20,6,2,5,6,44,31,16,3,58
7,12,8,1,4,111,60,9,6,58
17,10,10,6,5,55,37,14,3,71
14,2,5,5,7,52,68,27,9,66
15,7,2,6,3,144,88,30,6,69
5,3,4,5,7,114,85,9,4,34
15,17,7,4,3,134,40,15,8,78
13,10,2,3,6,156,96,8,3,54
4,11,6,3,5,138,92,13,6,53
10,10,5,1,7,199,29,4,3,43
13,2,2,3,3,66,50,4,5,40
12,7,3,6,4,151,69,20,9,60
9,11,7,2,4,174,39,24,10,69
17,17,3,6,3,60,57,32,4,82
7,19,9,6,7,100,11,20,7,66
10,12,3,3,7,61,11,40,2,60
17,3,2,3,7,62,22,13,10,55
3,18,5,1,6,124,22,37,6,64
17,18,2,2,4,95,36,13,3,68
7,12,8,3,7,40,95,33,7,77
7,15,5,6,6,54,30,3,1,40
7,9,1,5,4,107,27,7,7,35
12,18,6,3,5,140,39,2,10,67
8,14,8,1,4,164,3,16,1,52
19,9,9,5,4,73,10,4,9,70
16,3,7,3,3,94,72,34,6,78
16,5,3,5,3,180,11,5,8,48
14,14,3,3,4,48,82,8,6,66
2,10,3,6,5,48,6,25,1,31
3,12,10,2,7,103,96,25,9,71
10,3,2,2,7,110,67,21,2,44
14,8,5,4,4,99,31,7,2,49
20,1,6,4,4,49,8,25,2,61
1,17,3,4,3,184,24,6,1,30
17,6,1,5,7,46,13,32,4,59
3,16,3,4,4,172,21,29,8,54
12,1,4,3,7,86,85,30,8,63
3,20,7,2,5,164,93,18,8,69
1,15,4,1,4,40,67,26,8,58
4,15,10,5,6,124,67,29,1,64
6,8,2,4,5,152,55,31,2,46
11,18,4,1,5,64,16,28,9,75
1,19,2,1,6,125,3,5,6,34
12,10,4,1,5,112,15,37,4,66
14,18,4,2,6,194,52,4,5,63
3,3,7,5,4,49,84,9,6,40
16,12,4,5,7,85,54,11,5,63
7,7,2,1,7,187,49,24,4,45
11,16,7,1,5,53,76,14,6,74
19,14,8,4,6,138,67,19,2,81
19,9,1,1,6,55,25,30,5,70
11,16,9,4,5,170,76,9,6,71
17,5,6,3,3,113,44,26,2,67
17,14,5,5,3,162,46,36,8,87
16,6,7,3,4,47,9,6,2,51
8,20,8,2,3,94,33,12,9,71
7,19,8,1,5,53,26,5,7,61
16,17,3,4,7,197,87,28,4,80
3,19,9,6,4,123,81,40,8,82
7,13,9,6,5,152,54,2,5,51
11,14,10,4,6,89,98,22,1,76
10,8,7,2,3,159,82,11,10,65
13,19,3,3,4,148,79,1,8,67
20,16,6,3,4,156,16,34,2,85
9,6,9,6,5,44,73,11,3,53
4,14,3,4,6,150,69,20,1,45
18,18,1,3,4,184,97,11,7,78
8,14,9,1,6,75,54,23,3,68
14,9,2,6,6,85,79,8,2,50
17,12,6,4,7,79,41,25,6,77
6,5,5,3,5,76,21,6,3,31
1,9,3,2,4,193,49,18,10,42
17,4,8,3,6,90,60,38,9,86
20,16,7,1,6,90,74,19,6,92
3,13,4,4,3,55,86,36,8,66
4,12,2,6,4,150,38,40,10,59
1,19,6,3,7,194,47,9,5,46
11,7,8,6,5,51,68,20,6,64
13,14,10,1,6,83,82,25,5,86
17,12,7,4,4,92,53,3,6,68
19,13,3,5,5,155,93,23,10,86
8,20,1,6,5,166,54,16,6,56
7,18,5,1,5,45,6,40,7,73
2,5,4,3,6,169,38,35,10,48
2,11,2,3,5,90,100,34,10,61
14,19,5,3,3,139,100,18,6,83
8,9,8,1,6,155,99,3,7,58
19,1,5,4,3,136,87,25,5,72
6,11,5,6,3,81,8,22,6,48
17,11,8,3,7,155,61,35,5,87
15,4,7,5,5,109,43,17,3,57
18,12,9,2,7,124,90,30,6,94
15,20,3,1,5,132,68,9,3,70
13,12,10,6,5,171,21,31,8,79
1,5,9,3,5,46,15,37,4,48
2,10,6,6,7,41,31,16,8,42
18,11,9,5,5,195,32,27,1,76
2,9,3,5,7,40,28,27,7,41
5,17,6,6,5,180,5,24,2,50
2,15,7,6,6,169,13,19,10,51
8,9,8,4,6,144,21,11,10,54
17,12,6,4,5,91,37,14,5,69
18,1,7,6,6,46,72,18,2,62
10,11,10,3,7,62,46,36,3,75
5,7,5,5,7,86,27,10,1,30
15,4,9,4,3,194,29,39,1,70
5,11,6,4,6,67,43,23,10,59
6,2,9,4,5,157,87,28,8,61
1,13,1,4,3,45,49,38,1,45
11,8,8,3,6,161,5,2,2,42
9,20,4,4,3,120,78,39,4,81
9,11,4,3,6,200,100,30,3,65
16,3,2,5,7,114,41,29,10,63
6,5,6,6,5,61,85,32,5,57
15,10,8,4,6,135,66,6,1,60
3,1,9,3,5,59,9,12,9,37
13,11,9,4,6,80,92,24,9,84
5,7,3,4,6,145,71,19,10,49
8,2,8,5,6,149,16,18,2,39
10,1,2,1,5,183,39,3,7,33
12,3,3,2,5,146,90,7,7,50
8,14,1,6,4,71,23,35,7,59
10,9,8,4,5,75,83,10,10,67
19,12,6,3,7,128,98,19,3,81
12,6,8,2,7,180,61,38,3,71
15,13,5,6,5,191,13,2,8,56
19,14,9,5,4,55,21,3,4,71
4,18,1,4,7,191,14,19,8,46
7,4,5,2,3,77,62,19,9,53
19,19,6,5,5,90,99,17,2,87
9,14,8,3,7,80,6,28,9,70
11,14,1,1,7,41,13,18,9,57
20,16,10,4,4,81,34,29,3,93
10,4,2,3,3,139,9,21,1,37
12,11,8,5,3,85,76,30,9,83
16,16,6,6,3,87,32,9,5,68
15,6,1,6,3,57,71,32,6,66
16,16,10,2,6,180,92,14,9,92
1,17,5,5,5,81,68,26,6,57
3,9,5,2,5,153,70,4,10,44
5,15,6,6,5,179,5,30,6,56
3,15,1,4,7,62,75,1,3,33
9,4,5,2,5,55,76,25,6,58
20,18,3,4,4,144,80,33,5,94
10,14,10,3,4,157,96,34,4,85
15,6,1,6,3,175,59,40,7,69
16,12,3,2,5,164,67,13,3,64
18,2,1,5,5,117,37,15,9,55
19,19,5,2,7,66,48,1,9,79
6,3,4,4,5,114,72,15,1,35
15,19,3,2,5,47,7,24,5,72
11,11,4,5,7,151,49,25,10,66
6,19,10,3,5,40,22,36,3,75
14,19,4,6,6,92,40,14,5,68
1,9,10,6,7,129,11,25,5,45
16,17,10,3,6,70,4,10,9,79
9,17,5,2,4,94,94,15,10,75
18,17,6,5,7,69,33,32,2,83
7,15,9,6,6,160,63,10,4,58
19,8,9,3,6,42,18,31,1,77
9,12,9,1,5,176,87,13,2,64
10,8,4,6,3,173,93,3,10,54
7,12,2,1,3,172,24,20,5,48
1,6,10,2,7,121,6,22,9,46
12,10,1,6,6,57,41,13,1,43
4,9,10,4,3,86,28,32,6,61
10,13,10,6,5,113,94,20,5,75
17,13,3,1,6,44,1,24,5,68
2,17,3,5,3,194,100,36,1,59
16,20,4,6,5,80,56,23,3,78
10,13,6,3,6,95,28,9,3,51
19,17,6,2,7,135,24,14,10,83
9,18,4,3,6,77,67,33,8,78
5,3,2,5,6,179,46,27,4,36
15,2,1,3,5,60,42,5,5,41
14,18,4,3,7,117,57,24,3,73
8,13,3,4,4,76,25,9,5,45
3,8,10,3,7,106,100,10,10,58
19,20,8,3,4,103,27,18,7,90
13,20,3,2,3,92,85,22,7,82
1,14,3,5,7,162,35,15,5,36
14,2,8,1,6,49,73,30,3,69
12,4,5,2,7,178,23,39,3,59
20,8,9,1,7,145,29,38,3,87
4,12,5,3,7,63,84,1,9,47
14,3,5,6,7,116,20,25,7,56
15,10,4,4,7,72,32,38,6,74
9,20,5,4,3,141,78,13,6,69
11,20,6,1,5,190,28,31,9,83
6,12,9,3,3,195,18,22,7,60
2,15,8,2,6,191,58,19,7,58
8,10,10,4,6,154,94,27,5,72
4,13,1,5,5,149,94,23,2,46
17,4,7,5,5,186,91,15,7,70
15,16,4,2,7,126,50,20,10,78
16,16,3,2,6,130,97,30,10,91
8,12,7,4,7,164,71,30,2,64
18,14,3,4,3,50,44,5,8,68
10,10,4,5,3,133,5,39,1,56
15,16,1,2,5,192,15,36,1,67
15,4,4,5,3,54,97,15,1,57
13,2,1,3,4,123,25,36,5,53
18,19,1,6,7,180,34,14,7,70
4,5,2,5,3,46,81,11,6,36
5,16,2,2,6,72,45,4,6,43
14,16,4,5,3,173,36,25,7,73
10,11,10,3,4,173,65,5,1,56
2,11,10,4,3,197,32,4,8,45
3,16,2,6,6,155,59,8,8,42
8,11,6,4,7,103,76,39,3,69
9,5,4,2,5,177,6,23,10,51
7,20,7,1,6,121,50,8,7,64
11,11,10,4,6,59,90,14,7,74
9,14,10,2,4,160,42,28,4,73
12,16,3,1,5,69,4,37,2,68
3,7,7,6,5,103,79,36,9,62
10,8,9,6,3,154,7,11,3,48
11,19,4,6,7,78,16,38,4,72
3,19,8,1,6,145,6,5,9,52
10,16,4,3,4,72,94,24,3,70
6,3,6,6,3,168,15,17,1,32
19,12,6,4,3,87,76,39,1,89
4,18,9,1,3,76,65,28,10,79
3,6,5,4,7,55,19,16,1,29
18,20,1,5,6,198,30,31,6,80
2,3,1,6,3,131,81,27,7,38
13,2,7,3,3,195,39,11,3,48
14,20,3,5,7,162,100,34,1,82
18,12,8,1,3,51,4,27,10,87
16,7,3,2,7,181,49,32,4,67
14,16,5,1,4,156,80,34,6,87
14,1,10,2,7,58,95,3,5,60
16,7,5,5,3,143,54,21,6,67
1,20,2,6,7,120,50,1,3,32
20,10,7,4,7,199,5,11,5,66
5,19,8,4,3,136,62,40,4,78
16,16,1,5,5,200,58,16,8,69
2,3,9,6,4,158,99,27,2,48
20,14,7,5,7,173,47,24,2,80
18,1,3,3,5,145,52,12,9,58
12,4,4,1,4,124,77,13,4,53
17,2,2,3,4,68,12,39,9,68
12,7,9,5,5,144,82,22,10,75
6,6,3,4,7,153,48,17,4,38
1,11,2,3,6,100,99,1,5,33
7,11,2,6,3,164,39,21,7,49
4,16,5,3,7,42,28,38,5,62
16,10,8,5,4,132,61,7,3,65
16,19,8,3,5,100,55,37,3,94
9,9,2,6,3,87,52,17,5,48
14,16,2,4,5,131,4,24,8,66
13,2,2,3,7,76,99,14,6,52
9,18,5,3,4,97,1,3,9,55
14,3,8,1,6,51,37,30,9,73
5,16,7,2,6,59,23,36,2,63
5,15,7,3,4,65,18,38,9,71
5,8,10,6,6,139,35,16,8,53
6,5,3,3,7,169,53,7,5,33
10,15,5,4,7,92,25,24,5,62
3,8,3,1,4,181,23,32,8,48
16,2,4,2,7,84,85,9,1,51
4,1,6,4,4,115,78,23,8,47
15,10,5,6,7,136,65,12,10,68
4,16,5,1,4,58,62,16,8,60
20,1,10,3,4,50,75,3,1,64
15,2,1,4,7,73,62,36,9,65
2,16,2,5,7,92,14,10,9,38
13,9,3,3,6,88,64,28,10,71
16,8,1,2,7,114,94,13,8,64
16,13,1,6,3,72,45,8,8,61
14,6,9,3,6,100,46,10,3,59
19,4,1,3,4,170,44,9,10,58
18,9,10,3,6,98,6,15,5,71
2,18,10,3,4,161,93,30,3,72
6,12,4,3,4,128,100,8,6,53
16,10,4,3,6,130,5,16,4,57
3,13,1,4,6,163,54,31,4,46
14,13,4,4,6,159,69,11,8,67
11,11,3,4,4,83,13,4,1,38
7,15,1,5,3,85,95,8,9,55
8,11,10,4,3,76,91,17,1,64
15,13,7,1,4,171,5,31,6,77
2,11,8,5,5,195,83,35,2,58
13,7,9,4,4,155,52,17,9,70
15,17,9,4,6,175,11,33,7,86
3,11,10,2,6,106,98,6,9,59
8,6,9,4,4,166,18,15,6,50
15,8,2,1,3,190,65,33,9,75
12,9,3,3,5,198,72,36,1,64
1,2,3,3,7,44,42,6,1,14
11,5,8,6,5,85,52,18,4,56
5,13,10,3,5,41,80,11,7,64
7,5,9,3,4,116,50,35,4,62
15,11,4,3,5,95,9,28,5,66
15,18,8,6,4,113,27,3,5,68
18,15,3,1,4,180,34,24,3,74
14,11,3,6,7,144,14,16,3,51
8,9,8,4,3,84,3,18,10,58
8,19,5,5,3,94,30,34,3,69
13,15,2,4,6,177,79,35,2,72
5,20,3,1,6,103,82,5,10,60
9,4,5,5,7,104,19,11,7,40
15,12,10,4,5,84,62,13,1,71
15,12,1,6,6,91,9,40,7,69
3,16,2,2,6,130,56,38,2,55
7,13,1,2,4,129,41,2,7,40
19,20,1,1,6,65,15,22,10,83
11,19,1,1,3,145,5,28,7,67
14,10,9,5,3,144,46,37,7,84
4,11,5,2,6,78,22,36,1,50
1,10,8,4,6,154,80,16,4,46
